Brand,Processor,RAM (GB),Storage (GB),Camera (MP),Battery (mAh),Display Size (inches),Refresh Rate (Hz),5G Support,Operating System,Launch Year,Price ($)
OnePlus,Dimensity 9200,8,64,108,5000,6.7,144,1,Android,2021,1095.2
Samsung,Dimensity 9200,6,128,108,3000,6.1,90,1,Android,2024,1087.5
Vivo,Snapdragon 8 Gen 2,4,256,64,5000,6.1,144,1,Android,2019,1177.2
Oppo,A17 Bionic,4,64,200,4500,7.0,90,0,Android,2023,1269.5
Xiaomi,Dimensity 9200,8,128,200,4000,6.4,60,1,Android,2024,1293.5
Vivo,Dimensity 9200,16,128,12,3000,6.4,60,0,Android,2019,788.0
Xiaomi,Exynos 2200,6,256,64,4500,6.1,60,1,Android,2019,1038.0
Oppo,A17 Bionic,12,128,108,6000,7.0,60,0,Android,2024,1506.0
Apple,Exynos 2200,12,1024,64,4500,6.1,90,0,iOS,2018,1762.8
Samsung,A17 Bionic,16,1024,48,5000,6.4,90,0,Android,2020,1177.6
Oppo,Dimensity 9200,6,64,12,4000,6.1,120,0,Android,2022,920.0
Realme,Kirin 9000,12,256,200,4000,5.5,144,0,Android,2024,1385.5
Apple,Snapdragon 8 Gen 2,12,1024,108,4000,7.0,120,0,iOS,2024,2400.75
Motorola,Snapdragon 778G,8,1024,64,4500,6.7,144,1,Android,2020,1277.6
Xiaomi,A17 Bionic,12,128,200,5000,6.1,60,1,Android,2020,1169.2
Motorola,Snapdragon 8 Gen 2,6,64,12,4500,5.5,144,0,Android,2019,922.8
Oppo,Dimensity 9200,12,512,48,4500,6.1,144,0,Android,2021,1028.0
Xiaomi,Dimensity 9200,6,64,200,5000,6.1,120,1,Android,2019,1069.6
Oppo,Kirin 9000,4,128,48,4500,6.4,90,0,Android,2021,801.2
Apple,Snapdragon 778G,4,64,64,6000,5.5,60,0,iOS,2019,1489.8
Google,Exynos 2200,8,512,108,3000,6.4,144,1,Android,2022,1245.0
Xiaomi,Dimensity 9200,12,128,12,3000,6.7,90,1,Android,2024,877.5
Motorola,Snapdragon 8 Gen 2,4,64,48,6000,6.1,144,0,Android,2022,1390.5
Vivo,Dimensity 9200,6,64,64,4000,5.5,90,0,Android,2023,1205.0
Sony,Dimensity 9200,16,1024,108,4000,6.4,144,0,Android,2023,1577.0
Realme,Kirin 9000,16,128,48,6000,7.0,144,1,Android,2022,1449.5
Motorola,Snapdragon 8 Gen 2,12,64,48,4500,6.7,90,0,Android,2022,1171.5
Google,Dimensity 9200,6,512,200,5000,6.1,144,0,Android,2020,1146.4
Motorola,Dimensity 9200,12,1024,64,4500,6.7,144,1,Android,2021,1364.8
Oppo,A17 Bionic,16,64,200,4000,6.7,90,0,Android,2021,978.0
OnePlus,A17 Bionic,16,256,48,6000,6.4,90,1,Android,2024,1656.5
Sony,A17 Bionic,16,128,108,4000,6.7,120,0,Android,2023,1341.5
Vivo,Snapdragon 8 Gen 2,12,128,48,4000,6.4,60,0,Android,2020,888.0
Xiaomi,Snapdragon 778G,4,64,200,5000,6.4,120,1,Android,2018,1244.4
Oppo,Exynos 2200,8,1024,48,4500,5.5,120,1,Android,2018,1301.6
OnePlus,Exynos 2200,8,512,64,4000,6.1,90,0,Android,2019,940.4
Samsung,A17 Bionic,8,128,200,6000,7.0,60,1,Android,2021,1248.0
Vivo,A17 Bionic,16,128,108,4000,7.0,60,1,Android,2019,973.2
Google,Snapdragon 8 Gen 2,8,256,48,5000,7.0,90,1,Android,2020,1034.8
Apple,Exynos 2200,12,128,64,4000,6.7,144,0,iOS,2021,1576.2
Xiaomi,Dimensity 9200,4,256,12,4000,6.1,90,1,Android,2022,1239.0
Xiaomi,A17 Bionic,4,256,108,6000,6.7,120,1,Android,2022,1681.5
Google,Exynos 2200,8,64,48,4000,6.4,90,1,Android,2018,852.4
Motorola,Snapdragon 778G,16,1024,48,4000,6.1,144,1,Android,2023,1642.5
Oppo,Dimensity 9200,12,512,48,6000,6.4,120,0,Android,2020,1141.6
Google,Dimensity 9200,16,1024,200,6000,6.4,60,1,Android,2019,1546.0
