Brand,Processor,RAM (GB),Storage (GB),Camera (MP),Battery (mAh),Display Size (inches),Refresh Rate (Hz),5G Support,Operating System,Launch Year,Price ($)
OnePlus,Dimensity 9200,8,64,108,5000,6.7,144,1,Android,2021,492
Samsung,Dimensity 9200,6,128,108,3000,6.1,90,1,Android,2024,706
Vivo,Snapdragon 8 Gen 2,4,256,64,5000,6.1,144,1,Android,2019,294
Oppo,A17 Bionic,4,64,200,4500,7.0,90,0,Android,2023,761
Xiaomi,Dimensity 9200,8,128,200,4000,6.4,60,1,Android,2024,840
Vivo,Dimensity 9200,16,128,12,3000,6.4,60,0,Android,2019,197
Xiaomi,Exynos 2200,6,256,64,4500,6.1,60,1,Android,2019,259
Oppo,A17 Bionic,12,128,108,6000,7.0,60,0,Android,2024,978
Apple,Exynos 2200,12,1024,64,4500,6.1,90,0,iOS,2018,440
Samsung,A17 Bionic,16,1024,48,5000,6.4,90,0,Android,2020,412
Oppo,Dimensity 9200,6,64,12,4000,6.1,120,0,Android,2022,478
Realme,Kirin 9000,12,256,200,4000,5.5,144,0,Android,2024,900
Apple,Snapdragon 8 Gen 2,12,1024,108,4000,7.0,120,0,iOS,2024,1560
Motorola,Snapdragon 778G,8,1024,64,4500,6.7,144,1,Android,2020,447
Xiaomi,A17 Bionic,12,128,200,5000,6.1,60,1,Android,2020,409
Motorola,Snapdragon 8 Gen 2,6,64,12,4500,5.5,144,0,Android,2019,230
Oppo,Dimensity 9200,12,512,48,4500,6.1,144,0,Android,2021,462
Xiaomi,Dimensity 9200,6,64,200,5000,6.1,120,1,Android,2019,267
Oppo,Kirin 9000,4,128,48,4500,6.4,90,0,Android,2021,360
Apple,Snapdragon 778G,4,64,64,6000,5.5,60,0,iOS,2019,372
Google,Exynos 2200,8,512,108,3000,6.4,144,1,Android,2022,647
Xiaomi,Dimensity 9200,12,128,12,3000,6.7,90,1,Android,2024,570
Motorola,Snapdragon 8 Gen 2,4,64,48,6000,6.1,144,0,Android,2022,723
Vivo,Dimensity 9200,6,64,64,4000,5.5,90,0,Android,2023,723
Sony,Dimensity 9200,16,1024,108,4000,6.4,144,0,Android,2023,946
Realme,Kirin 9000,16,128,48,6000,7.0,144,1,Android,2022,753
Motorola,Snapdragon 8 Gen 2,12,64,48,4500,6.7,90,0,Android,2022,609
Google,Dimensity 9200,6,512,200,5000,6.1,144,0,Android,2020,401
Motorola,Dimensity 9200,12,1024,64,4500,6.7,144,1,Android,2021,614
Oppo,A17 Bionic,16,64,200,4000,6.7,90,0,Android,2021,440
OnePlus,A17 Bionic,16,256,48,6000,6.4,90,1,Android,2024,1076
Sony,A17 Bionic,16,128,108,4000,6.7,120,0,Android,2023,804
Vivo,Snapdragon 8 Gen 2,12,128,48,4000,6.4,60,0,Android,2020,310
Xiaomi,Snapdragon 778G,4,64,200,5000,6.4,120,1,Android,2018,311
Oppo,Exynos 2200,8,1024,48,4500,5.5,120,1,Android,2018,325
OnePlus,Exynos 2200,8,512,64,4000,6.1,90,0,Android,2019,235
Samsung,A17 Bionic,8,128,200,6000,7.0,60,1,Android,2021,561
Vivo,A17 Bionic,16,128,108,4000,7.0,60,1,Android,2019,243
Google,Snapdragon 8 Gen 2,8,256,48,5000,7.0,90,1,Android,2020,362
Apple,Exynos 2200,12,128,64,4000,6.7,144,0,iOS,2021,709
Xiaomi,Dimensity 9200,4,256,12,4000,6.1,90,1,Android,2022,644
Xiaomi,A17 Bionic,4,256,108,6000,6.7,120,1,Android,2022,874
Google,Exynos 2200,8,64,48,4000,6.4,90,1,Android,2018,213
Motorola,Snapdragon 778G,16,1024,48,4000,6.1,144,1,Android,2023,985
Oppo,Dimensity 9200,12,512,48,6000,6.4,120,0,Android,2020,399
Google,Dimensity 9200,16,1024,200,6000,6.4,60,1,Android,2019,386
Realme,Snapdragon 8 Gen 2,12,1024,48,6000,6.1,144,1,Android,2023,1015
OnePlus,Exynos 2200,16,512,12,6000,7.0,90,1,Android,2020,457
Google,Kirin 9000,16,1024,12,3000,6.4,60,1,Android,2019,273
Google,A17 Bionic,8,256,108,6000,6.4,120,1,Android,2021,575
Apple,Snapdragon 778G,16,128,64,5000,6.7,60,0,iOS,2018,402
OnePlus,A17 Bionic,16,128,200,6000,5.5,60,0,Android,2020,456
Oppo,Snapdragon 8 Gen 2,12,256,64,5000,6.7,60,0,Android,2020,340
Motorola,Kirin 9000,6,512,200,3000,6.4,60,0,Android,2020,340
Samsung,Dimensity 9200,6,64,48,5000,6.1,60,0,Android,2022,679
Apple,Exynos 2200,16,1024,64,4000,6.1,120,1,iOS,2021,776
Realme,A17 Bionic,16,1024,200,4000,7.0,60,0,Android,2020,406
Motorola,Snapdragon 778G,16,128,108,4500,6.1,144,0,Android,2020,415
Google,Snapdragon 778G,6,512,48,6000,6.1,144,0,Android,2023,978
Google,Snapdragon 8 Gen 2,16,1024,48,4000,7.0,60,0,Android,2019,296
Google,Dimensity 9200,8,1024,64,5000,7.0,90,1,Android,2023,851
Vivo,Exynos 2200,4,64,64,3000,5.5,60,0,Android,2018,180
Samsung,Dimensity 9200,6,128,200,6000,5.5,144,0,Android,2024,984
Google,A17 Bionic,12,256,64,6000,6.1,90,0,Android,2020,397
Vivo,Dimensity 9200,6,64,48,3000,6.1,120,0,Android,2020,264
Vivo,Kirin 9000,16,128,12,3000,7.0,144,0,Android,2018,222
Realme,Snapdragon 8 Gen 2,4,128,200,4000,6.4,90,0,Android,2023,765
Vivo,Dimensity 9200,6,128,200,4500,7.0,90,0,Android,2023,835
OnePlus,Snapdragon 8 Gen 2,8,512,108,4500,6.7,60,0,Android,2018,235
Xiaomi,Dimensity 9200,16,512,48,6000,7.0,120,0,Android,2020,409
OnePlus,A17 Bionic,6,64,12,4000,7.0,120,0,Android,2023,552
Realme,Snapdragon 8 Gen 2,16,512,200,3000,6.1,90,1,Android,2020,352
Xiaomi,Kirin 9000,4,256,48,6000,5.5,120,1,Android,2023,806
Google,Snapdragon 8 Gen 2,12,512,12,6000,6.4,60,1,Android,2024,1013
Samsung,Snapdragon 778G,6,512,64,4000,7.0,90,0,Android,2018,227
Sony,Snapdragon 8 Gen 2,8,1024,48,6000,6.7,90,1,Android,2023,1035
Realme,Snapdragon 778G,8,512,200,3000,6.1,120,0,Android,2021,438
Xiaomi,Snapdragon 8 Gen 2,4,128,200,4000,7.0,144,0,Android,2021,481
Oppo,Dimensity 9200,16,512,12,4500,6.7,144,1,Android,2022,739
Google,A17 Bionic,4,1024,12,4000,7.0,60,1,Android,2022,631
Sony,Kirin 9000,12,64,64,6000,7.0,60,1,Android,2022,752
Xiaomi,A17 Bionic,12,128,48,6000,7.0,144,1,Android,2018,333
Apple,Kirin 9000,12,512,48,4500,6.4,120,0,iOS,2020,562
Samsung,Dimensity 9200,4,64,200,6000,6.4,90,0,Android,2022,806
Oppo,A17 Bionic,8,512,108,6000,6.1,144,1,Android,2023,1026
Xiaomi,Exynos 2200,8,64,64,4500,6.7,90,0,Android,2020,309
Oppo,Kirin 9000,12,64,108,4500,5.5,60,0,Android,2021,475
Xiaomi,Kirin 9000,16,64,48,4000,6.4,120,1,Android,2020,340
Apple,Kirin 9000,4,1024,48,5000,5.5,60,1,iOS,2024,1411
Sony,Exynos 2200,8,256,108,4500,5.5,120,0,Android,2024,851
Sony,A17 Bionic,16,1024,64,3000,6.7,60,1,Android,2022,602
Realme,Snapdragon 8 Gen 2,4,64,200,3000,6.4,90,1,Android,2023,691
Xiaomi,Dimensity 9200,4,512,108,4000,6.1,120,0,Android,2023,814
Xiaomi,Dimensity 9200,12,512,12,4500,6.7,90,0,Android,2022,600
Apple,Dimensity 9200,16,128,108,4000,6.1,60,1,iOS,2023,1065
Apple,Kirin 9000,12,64,200,4000,6.7,60,0,iOS,2020,474
Motorola,Kirin 9000,8,1024,64,3000,6.1,60,1,Android,2024,720
Oppo,Kirin 9000,4,128,108,4500,6.1,120,1,Android,2018,237
Sony,Snapdragon 8 Gen 2,12,256,64,6000,5.5,144,0,Android,2018,288
Xiaomi,Dimensity 9200,6,512,48,5000,6.1,60,1,Android,2024,836
Google,Snapdragon 8 Gen 2,12,128,108,6000,6.7,90,0,Android,2022,710
OnePlus,A17 Bionic,6,256,48,4000,6.4,120,1,Android,2018,265
OnePlus,Snapdragon 8 Gen 2,16,1024,200,4000,6.1,144,1,Android,2020,437
Vivo,Snapdragon 778G,16,256,64,6000,6.4,120,1,Android,2023,1026
Sony,Snapdragon 778G,12,128,12,4500,6.4,90,1,Android,2018,249
Xiaomi,A17 Bionic,16,128,200,4500,6.7,120,1,Android,2023,911
Vivo,Snapdragon 778G,6,128,108,4000,7.0,144,0,Android,2020,356
Motorola,Snapdragon 8 Gen 2,16,1024,12,3000,7.0,120,1,Android,2022,597
Motorola,Exynos 2200,16,64,108,5000,7.0,120,0,Android,2023,851
Motorola,Snapdragon 8 Gen 2,12,1024,12,3000,7.0,120,0,Android,2024,767
Realme,Kirin 9000,12,512,12,4000,6.7,60,1,Android,2018,265
Oppo,Snapdragon 8 Gen 2,8,1024,200,6000,5.5,144,0,Android,2021,649
Samsung,Exynos 2200,12,64,48,4000,6.4,120,0,Android,2022,542
OnePlus,Snapdragon 778G,6,1024,200,6000,6.4,90,0,Android,2018,335
Motorola,Snapdragon 778G,8,512,108,4500,7.0,120,1,Android,2024,919
Realme,Kirin 9000,12,512,108,6000,7.0,144,0,Android,2021,543
Realme,Dimensity 9200,16,64,64,5000,7.0,120,0,Android,2023,827
Samsung,Exynos 2200,4,512,64,5000,7.0,90,1,Android,2024,902
Samsung,Dimensity 9200,8,128,64,5000,6.7,120,0,Android,2018,279
Vivo,A17 Bionic,16,1024,108,6000,6.4,144,0,Android,2022,1015
Realme,A17 Bionic,8,128,200,3000,5.5,90,1,Android,2023,621
Sony,Snapdragon 778G,6,1024,200,6000,6.1,120,0,Android,2022,941
Apple,Dimensity 9200,6,512,108,4000,5.5,60,1,iOS,2022,971
Xiaomi,Kirin 9000,4,64,64,5000,5.5,90,0,Android,2020,324
Sony,Dimensity 9200,8,64,12,3000,6.1,60,1,Android,2019,154
Realme,Snapdragon 778G,16,512,108,5000,6.7,90,0,Android,2018,306
Xiaomi,Exynos 2200,4,512,64,3000,6.4,60,0,Android,2021,394
Apple,A17 Bionic,4,512,200,4500,7.0,120,1,iOS,2022,1188
Sony,Kirin 9000,12,512,12,5000,6.4,60,1,Android,2020,374
Sony,Snapdragon 8 Gen 2,6,512,108,3000,7.0,120,0,Android,2020,350
Motorola,Snapdragon 778G,16,128,200,4000,5.5,60,0,Android,2023,832
Motorola,Snapdragon 8 Gen 2,12,256,108,3000,6.7,60,0,Android,2018,231
Apple,Dimensity 9200,16,64,12,3000,6.7,144,0,iOS,2023,972
Vivo,Dimensity 9200,8,128,108,5000,6.1,90,0,Android,2020,357
Motorola,Snapdragon 8 Gen 2,8,64,12,3000,7.0,60,1,Android,2024,581
OnePlus,Dimensity 9200,12,64,64,4500,6.7,144,0,Android,2018,275
OnePlus,Snapdragon 778G,12,64,12,4000,7.0,144,1,Android,2024,726
Google,A17 Bionic,16,128,48,4500,6.7,120,1,Android,2019,245
Motorola,Snapdragon 8 Gen 2,16,64,48,4500,5.5,144,0,Android,2023,742
Samsung,Kirin 9000,8,256,48,4000,6.7,60,1,Android,2022,562
Apple,A17 Bionic,16,64,48,3000,6.7,144,1,iOS,2021,525
Apple,A17 Bionic,4,256,12,5000,6.7,120,0,iOS,2020,503
Google,Kirin 9000,16,128,200,4000,7.0,144,0,Android,2019,273
Xiaomi,A17 Bionic,6,64,200,3000,6.4,144,0,Android,2019,207
Realme,Snapdragon 778G,12,512,64,3000,5.5,90,0,Android,2019,198
Motorola,Dimensity 9200,4,128,48,4000,7.0,90,0,Android,2018,201
Motorola,Snapdragon 8 Gen 2,4,128,200,3000,7.0,60,1,Android,2023,659
Vivo,Kirin 9000,6,64,12,6000,5.5,120,1,Android,2018,292
Xiaomi,Kirin 9000,4,64,48,6000,6.1,144,1,Android,2023,796
Xiaomi,Snapdragon 8 Gen 2,8,256,64,3000,6.7,60,1,Android,2018,205
Realme,Exynos 2200,12,512,108,5000,7.0,90,1,Android,2018,324
Samsung,Kirin 9000,12,256,48,3000,6.7,60,0,Android,2023,574
Google,A17 Bionic,12,64,12,4000,6.7,90,1,Android,2024,837
Sony,Exynos 2200,6,128,64,3000,5.5,90,0,Android,2018,199
Sony,A17 Bionic,8,512,12,4500,6.1,120,1,Android,2019,280
